title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score
Gumrah,MOVIE,1993,,149,"['action', 'crime', 'drama', 'thriller']",['IN'],,tt0107060,6.1
The Emigrant,MOVIE,1994,,129,['drama'],"['EG', 'FR']",,tt0110545,6.5
Yodha,MOVIE,1991,,142,"['drama', 'action']",['IN'],,tt0267130,4.5
Avvai Shanmugi,MOVIE,1996,PG-13,160,"['drama', 'comedy']",['IN'],,tt0139872,7.9
Minsara Kanavu,MOVIE,1997,G,145,"['comedy', 'drama', 'romance']",['IN'],,tt0282003,6.7
Chronicle of a Disappearance,MOVIE,1996,,88,['drama'],"['US', 'FR', 'DE', 'PS']",,tt0115895,6.9
Yaar Gaddar,MOVIE,1994,,147,"['crime', 'action', 'drama']",['IN'],,tt0111780,3.6
Sinbad: Nothin' but the Funk,MOVIE,1998,,55,"['comedy', 'documentation']",['US'],,tt0938332,6.2
Dushmani,MOVIE,1995,,156,"['romance', 'action', 'drama']",['IN'],,tt0112916,5.0
Fiza,MOVIE,2000,,170,"['drama', 'romance', 'action', 'crime']",['IN'],,tt0248012,6.0
Hello Brother,MOVIE,1999,,131,"['romance', 'action', 'comedy', 'fantasy']",['IN'],,tt0233856,4.6
Have You Ever Seen Fireflies? - Theatre Play,MOVIE,1999,,118,"['drama', 'comedy']",['TR'],,,
Shikari,MOVIE,1991,,162,"['drama', 'action']","['IN', 'SU']",,tt0170416,5.9
One Last Shot,MOVIE,1998,,30,[],[],,,
Breaking Bad,SHOW,2008,TV-MA,48,"['drama', 'thriller', 'crime']",['US'],5.0,tt0903747,9.5
The Walking Dead,SHOW,2010,TV-MA,46,"['action', 'drama', 'scifi', 'thriller', 'horror']",['US'],11.0,tt1520211,8.2
The Staircase,SHOW,2004,TV-MA,49,"['crime', 'documentation', 'drama']",['FR'],2.0,tt0388644,7.8
Downton Abbey,SHOW,2010,TV-14,58,"['drama', 'romance', 'european']",['GB'],6.0,tt1606375,8.7
Grey's Anatomy,SHOW,2005,TV-14,49,"['drama', 'romance']",['US'],18.0,tt0413573,7.6
The Great British Baking Show,SHOW,2010,TV-PG,57,"['reality', 'european']",['GB'],12.0,tt1877368,8.6
Criminal Minds,SHOW,2005,TV-14,44,"['thriller', 'crime', 'drama']",['US'],15.0,tt0452046,8.1
